speakername,party 
ถวิล ไพรสณฑ์,พรรคประชาธิปัตย์ 
ศิริวรรณ ปราศจากศัตรู,พรรคประชาธิปัตย์ 
พันเอกวินัย สมพงษ์,พรรคประชาธิปัตย์ 
สุวโรช พะลัง,พรรคประชาธิปัตย์ 
ดร.ผุสดี ตามไท,พรรคประชาธิปัตย์ 
ปัญญวัฒน์ บุญมี,พรรคประชาธิปัตย์ 
ดร.สามารถ ราชพลสิทธิ์,พรรคประชาธิปัตย์ 
นายแพทย์บุรณัชย์ สมุทรักษ์,พรรคประชาธิปัตย์ 
ภุชงค์ รุ่งโรจน์,พรรคประชาธิปัตย์ 
นิพนธ์ บุญญามณี,พรรคประชาธิปัตย์ 
อานิก อัมระนันทน์,พรรคประชาธิปัตย์ 
โกวิทย์ ธารณา,พรรคประชาธิปัตย์ 
อัศวิน วิภูศิริ,พรรคประชาธิปัตย์ 
ธรรมวิชญ์ โพธิพิพิธ,พรรคประชาธิปัตย์ 
เกียรติ สิทธิอมร,พรรคประชาธิปัตย์ 
บุญยอด สุขถิ่นไทย,พรรคประชาธิปัตย์ 
ศ.ดร.กนก วงษ์ตระหง่าน,พรรคประชาธิปัตย์ 
พลเอกพิชาญเมธ ม่วงมณี,พรรคประชาธิปัตย์ 
สุกิจ ก้องธรนินทร์,พรรคประชาธิปัตย์ 
รศ.ดร.ประกอบ จิรกิติ,พรรคประชาธิปัตย์ 
ผศ.ดร.พีรยศ ราฮิมมูลา,พรรคประชาธิปัตย์ 
กษิต ภิรมย์,พรรคประชาธิปัตย์ 
ดร.วีระชัย วีระเมธีกุล,พรรคประชาธิปัตย์ 
รัชฎาภรณ์ แก้วสนิท,พรรคประชาธิปัตย์ 
วัชระ เพชรทอง,พรรคประชาธิปัตย์ 
จุฤทธิ์ ลักษณวิศิษฏ์,พรรคประชาธิปัตย์ 
อิสรา สุนทรวัฒน์,พรรคประชาธิปัตย์ 
ชวนนท์ อินทรโกมาลย์สุต,พรรคประชาธิปัตย์ 
ไชยวัฒน์ ไตรยสุนันท์,พรรคประชาธิปัตย์ 
มณทิพย์ ศรีรัตนา,พรรคประชาธิปัตย์ 
ชวรัตน์ ชาญวีรกูล,พรรคภูมิใจไทย
ชัย ชิดชอบ,พรรคภูมิใจไทย
เรืองศักดิ์ งามสมภาค,พรรคภูมิใจไทย
ดร.นาที รัชกิจประการ,พรรคภูมิใจไทย
ศุภชัย ใจสมุทร,พรรคภูมิใจไทย
ชุมพล ศิลปอาชา,พรรคชาติไทยพัฒนา
พล.ต.สนั่น ขจรประศาสน์,พรรคชาติไทยพัฒนา
นิติวัฒน์ จันทร์สว่าง,พรรคชาติไทยพัฒนา
ยุทธพล อังกินันทน์,พรรคชาติไทยพัฒนา
ประดิษฐ์ ภัทรประสิทธิ์,พรรคชาติไทยพัฒนา
ฐนนท์ศรณ์ เลิศฤทธิ์ศิริกุล,พรรคชาติไทยพัฒนา
ชูวิทย์ กมลวิศิษฎ์,พรรครักประเทศไทย
ชัยวัฒน์ ไกรฤกษ์,พรรครักประเทศไทย
โปรดปราน โต๊ะราหนี,พรรครักประเทศไทย
พงษ์ศักดิ์ เรือนเงิน,พรรครักประเทศไทย
สมเพชร แต่งงาม,พรรครักประเทศไทย
ร.ต.ประพาส ลิมปะพันธุ์,พรรคชาติพัฒนา
ชาญชัย ชัยรุ่งเรือง,พรรคชาติพัฒนา
ศ.ร.ต.อ.ดร.ปุระชัย เปี่ยมสมบูรณ์,พรรครักษ์สันติ
พล.อ.สนธิ บุญยรัตกลิน,พรรคมาตุภูมิ
สันตศักย์ จรูญ งามพิเชษฐ์,พรรคพลังชล
อภิรัต ศิรินาวิน,พรรคมหาชน 
พัชรินทร์ มั่นปาน,พรรคประชาธิปไตยใหม่
เจิมมาศ จึงเลิศศิริ,พรรคประชาธิปัตย์
อรอนงค์ กาญจนชูศักดิ์,พรรคประชาธิปัตย์
หม่อมหลวงอภิมงคล โสณกุล,พรรคประชาธิปัตย์
อนุชา บูรพชัยศรี,พรรคประชาธิปัตย์
ดร.ลีลาวดี วัชโรบล,พรรคเพื่อไทย
ธนา ชีรวินิจ,พรรคประชาธิปัตย์
พุทธิพงษ์ ปุณณกันต์,พรรคประชาธิปัตย์
ดร.สรรเสริญ สมะลาภา,พรรคประชาธิปัตย์
อรรถวิชช์ สุวรรณภักดี,พรรคประชาธิปัตย์
ชื่นชอบ คงอุดม,พรรคประชาธิปัตย์
สุรชาติ เทียนทอง,พรรคเพื่อไทย
การุณ โหสกุล,พรรคเพื่อไทย
แทนคุณ จิตต์อิสระ,พรรคประชาธิปัตย์
นาวาอากาศเอกอนุดิษฐ์ นาครทรรพ,พรรคเพื่อไทย
อนุสรณ์ ปั้นทอง,พรรคเพื่อไทย
ณัฎฐ์ บรรทัดฐาน,พรรคประชาธิปัตย์
พลภูมิ วิภัติภูมิประเทศ,พรรคเพื่อไทย
วิชาญ มีนชัยนันท์,พรรคเพื่อไทย
จิรายุ ห่วงทรัพย์,พรรคเพื่อไทย
ไพโรจน์ อิสระเสรีพงษ์,พรรคเพื่อไทย
ธีรรัตน์ สำเร็จวาณิชย์,พรรคเพื่อไทย
นาถยา เบ็ญจศิริวรรณ,พรรคประชาธิปัตย์
สามารถ มะลูลีม,พรรคประชาธิปัตย์
สุทธิ ปัญญาสกุลวงศ์,พรรคประชาธิปัตย์
สุรันต์ จันทร์พิทักษ์,พรรคประชาธิปัตย์
นันทพร วีรกุลสุนทร,พรรคประชาธิปัตย์
ณัฏฐพล ทีปสุวรรณ,พรรคประชาธิปัตย์
สากล ม่วงศิริ,พรรคประชาธิปัตย์
พันตำรวจเอกสามารถ ม่วงศิริ,พรรคประชาธิปัตย์
เอกนัฏ พร้อมพันธุ์,พรรคประชาธิปัตย์
อรอนงค์ คล้ายนก,พรรคประชาธิปัตย์
วิลาศ จันทร์พิทักษ์,พรรคประชาธิปัตย์
ชนินทร์ รุ่งแสง,พรรคประชาธิปัตย์
ผศ.ดร.รัชดา ธนาดิเรก,พรรคประชาธิปัตย์
ไผ่ ลิกค์,พรรคเพื่อไทย
ปรีชา มุสิกุล,พรรคประชาธิปัตย์
อนันต์ ผลอำนวย,พรรคเพื่อไทย
ปริญญา ฤกษ์หร่าย,พรรคเพื่อไทย
พรทิวา นาคาศัย,พรรคภูมิใจไทย
นันทนา สงฆ์ประชา,พรรคภูมิใจไทย
วุฒิชัย กิตติธเนศวร,พรรคภูมิใจไทย
พันโทสินธพ แก้วพิจิตร,พรรคชาติไทยพัฒนา
รัฐกร เจนกิจณรงค์,พรรคเพื่อไทย
ก่อเกียรติ สิริยะเสถียร,พรรคเพื่อไทย
อนุชา สะสมทรัพย์,พรรคเพื่อไทย
เผดิมชัย สะสมทรัพย์,พรรคเพื่อไทย
สงกรานต์ จิตสุทธิภากร,พรรคประชาธิปัตย์
ดิสทัต คำประกอบ,พรรคเพื่อไทย
สัญชัย วงษ์สุนทร,พรรคเพื่อไทย
พันตำรวจโทนุกูล แสงศิริ,พรรคเพื่อไทย
ทายาท เกียรติชูศักดิ์,พรรคเพื่อไทย
ประสาท ตันประเสริฐ,พรรคชาติพัฒนา
นิทัศน์ ศรีนนท์,พรรคเพื่อไทย
อุดมเดช รัตนเสถียร,พรรคเพื่อไทย
วไลพร อัจฉริยะประสิทธิ์,พรรคเพื่อไทย
มนตรี ตั้งเจริญถาวร,พรรคเพื่อไทย
วันชัย เจริญนนทสิทธิ์,พรรคเพื่อไทย
ฉลอง เรี่ยวแรง,พรรคเพื่อไทย
สุทิน นพขำ,พรรคเพื่อไทย
สุรพงษ์ อึ้งอัมพรวิไล,พรรคเพื่อไทย
สมศักดิ์ ใจแคล้ว,พรรคเพื่อไทย
พรพิมล ธรรมสาร,พรรคเพื่อไทย
ว่าที่ร้อยตรีสุเมธ ฤทธาคนี,พรรคเพื่อไทย
เกียรติศักดิ์ ส่องแสง,พรรคประชาธิปัตย์
ชูชาติ หาญสวัสดิ์,พรรคเพื่อไทย
เกื้อกูล ด่านชัยวิจิตร,พรรคชาติไทยพัฒนา
พ้อง ชีวานันท์,พรรคเพื่อไทย
สุรศักดิ์ พันธ์เจริญวรกุล,พรรคเพื่อไทย
วิทยา บุรณศิริ,พรรคเพื่อไทย
องอาจ วชิรพงศ์,พรรคเพื่อไทย
วินัย ภัทรประสิทธิ์,พรรคชาติไทยพัฒนา
นราพัฒน์ แก้วทอง,พรรคประชาธิปัตย์
ศิริวัฒน์ ขจรประศาสน์,พรรคชาติไทยพัฒนา
วรงค์ เดชกิจวิกรม,พรรคประชาธิปัตย์
นพพล เหลืองทองนารา,พรรคเพื่อไทย
จุติ ไกรฤกษ์,พรรคประชาธิปัตย์
นิยม ช่างพินิจ,พรรคเพื่อไทย
นคร มาฉิม,พรรคประชาธิปัตย์
สุทัศน์ จันทร์แสงศรี,พรรคเพื่อไทย
จักรัตน์ พั้วช่วย,พรรคเพื่อไทย
ยุพราช บัวอินทร์,พรรคประชาธิปัตย์
วันเพ็ญ พร้อมพัฒน์,พรรคเพื่อไทย
สุรศักดิ์ อนรรฆพันธ์,พรรคเพื่อไทย
เอี่ยม ทองใจสด,พรรคเพื่อไทย
พิชัย เกียรติวินัยสกุล,พรรคเพื่อไทย
มัลลิกา จิระพันธุ์วาณิช,พรรคภูมิใจไทย
อำนวย คลังผา,พรรคเพื่อไทย
เกียรติ เหลืองขจรวิทย์,พรรคภูมิใจไทย
พหล วรปัญญา,พรรคเพื่อไทย
อรุณลักษณ์ กิจเลิศไพโรจน์,พรรคเพื่อไทย
ประเสริฐ ชัยกิจเด่นนภาลัย,พรรคเพื่อไทย
อนุสรา ยังตรง,พรรคเพื่อไทย
วรชัย เหมะ,พรรคเพื่อไทย
สลิลทิพย์ สุขวัฒน์,พรรคเพื่อไทย
เรวดี รัศมิทัต,พรรคภูมิใจไทย
ประชา ประสพดี,พรรคเพื่อไทย
รังสิมา รอดรัศมี,พรรคประชาธิปัตย์
