speakername,party
โอชิษฐ์ เกียรติก้องชูชัย,พรรคเพื่อไทย
มานะ โลหะวณิชย์,พรรคเพื่อไทย
พรเพ็ญ บุญศิริวัฒนกุล,พรรคเพื่อไทย
สุรวิทย์ คนสมบูรณ์,พรรคเพื่อไทย
มนพร เจริญศรี,พรรคเพื่อไทย
ไพจิต ศรีวรขาน,พรรคเพื่อไทย
ชวลิต วิชยสุทธิ์,พรรคเพื่อไทย
ประเสริฐ จันทรรวงทอง,พรรคเพื่อไทย
โกศล ปัทมะ,พรรคเพื่อไทย
ศิรสิทธิ์ เลิศด้วยลาภ,พรรคเพื่อไทย
สุชาติ ภิญโญ,พรรคเพื่อไทย
เชิดพงศ์ ราชป้องขันธ์,พรรคเพื่อไทย
ไตรรงค์ ติธรรม,พรรคเพื่อไทย
กิตติศักดิ์ คณาสวัสดิ์,พรรคเพื่อไทย
ไชยวัฒนา ติณรัตน์,พรรคเพื่อไทย
ยุทธพงศ์ จรัสเสถียร,พรรคเพื่อไทย
จิรวัฒน์ ศิริพานิชย์,พรรคเพื่อไทย
สุทิน คลังแสง,พรรคเพื่อไทย
อนุรักษ์ ตั้งปณิธานนท์,พรรคเพื่อไทย
บุญฐิน ประทุมลี,พรรคเพื่อไทย
ปิยวัฒน พันธ์สายเชื้อ,พรรคเพื่อไทย
บุญแก้ว สมวงศ์,พรรคเพื่อไทย
ธนกร ไชยกุล,พรรคเพื่อไทย
ฉลาด ขามช่วง,พรรคเพื่อไทย
นิรมิต สุจารี,พรรคเพื่อไทย
นิรันดร์ นาเมืองรักษ์,พรรคเพื่อไทย
จิราพร สินธุไพร,พรรคเพื่อไทย
กิตติ สมทรัพย์,พรรคเพื่อไทย
ศักดา คงเพชร,พรรคเพื่อไทย
เลิศศักดิ์ พัฒนชัยกุล,พรรคเพื่อไทย
ศรัณย์ ทิมสุวรรณ,พรรคเพื่อไทย
สุรชาติ ชาญประดิษฐ์,พรรคเพื่อไทย
วิวัฒน์ชัย โหตระไวศยะ,พรรคเพื่อไทย
จาตุรงค์ เพ็งนรพัฒน์,พรรคเพื่อไทย
ธีระ ไตรสรณกุล,พรรคเพื่อไทย
วีระพล จิตสัมฤทธิ์,พรรคเพื่อไทย
ผ่องศรี แซ่จึง,พรรคเพื่อไทย
อภิชาติ ตีรสวัสดิชัย,พรรคเพื่อไทย
นิยม เวชกามา,พรรคเพื่อไทย
พัฒนา สัพโส,พรรคเพื่อไทย
อนุรักษ์ บุญศล,พรรคเพื่อไทย
สกุณา สาระนันท์,พรรคเพื่อไทย
เกษม อุประ,พรรคเพื่อไทย
คุณากร ปรีชาชนะชัย,พรรคเพื่อไทย
ตี๋ใหญ่ พูนศรีธนากูล,พรรคเพื่อไทย
ครูมานิตย์ สังข์พุ่ม,พรรคเพื่อไทย
สมบัติ ศรีสุรินทร์,พรรคเพื่อไทย
ชูศักดิ์ แอกทอง,พรรคเพื่อไทย
กฤษฎา ตันเทอดทิตย์,พรรคเพื่อไทย
ชนก จันทาทอง,พรรคเพื่อไทย
เอกธนัช อินทร์รอด,พรรคเพื่อไทย
สยาม หัตถสงเคราะห์,พรรคเพื่อไทย
ไชยา พรหมา,พรรคเพื่อไทย
ณัฐวุฒิ กองจันทร์ดี,พรรคเพื่อไทย
ศราวุธ เพชรพนมพร,พรรคเพื่อไทย
อนันต์ ศรีพันธุ์,พรรคเพื่อไทย
ขจิตร ชัยนิคม,พรรคเพื่อไทย
อาภรณ์ สาราคำ,พรรคเพื่อไทย
จุฑาพัตธน์ เมนะสวัสดิ์,พรรคเพื่อไทย
จักรพรรดิ ไชยสาส์น,พรรคเพื่อไทย
เกรียงศักดิ์ ฝ้ายสีงาม,พรรคเพื่อไทย
เทียบจุฑา ขาวขำ,พรรคเพื่อไทย
วรสิทธิ์ กัลป์ตินันท์,พรรคเพื่อไทย
กิตติ์ธัญญา วาจาดี,พรรคเพื่อไทย
เอกชัย ทรงอำนาจเจริญ,พรรคเพื่อไทย
รัฐกิตติ์ ผาลีพัฒน์,พรรคเพื่อไทย
ชูวิทย์ พิทักษ์พรพัลลภ,พรรคเพื่อไทย
ประภูศักดิ์ จินตะเวช,พรรคเพื่อไทย
สมคิด เชื้อคง,พรรคเพื่อไทย
สมหญิง บัวบุตร,พรรคเพื่อไทย
ดะนัย มะหิพันธ์,พรรคเพื่อไทย
พรเทพ วิสุทธิ์วัฒนศักดิ์,พรรคเพื่อไทย
สงคราม กิจเลิศไพโรจน์,พรรคเพื่อชาติ
ปิยะรัฐชย์ ติยะไพรัช,พรรคเพื่อชาติ
อารี ไกรนรา,พรรคเพื่อชาติ
เพชรวรรต วัฒนพงศศิริกุล,พรรคเพื่อชาติ
ลินดา เชิดชัย,พรรคเพื่อชาติ
บุศริณธญ์ วรพัฒนานันน์,พรรคเพื่อชาติ
เกริกมนตรี รุจโสตถิรพัฒน์,พรรคเพื่อชาติ
วารีรัตน์ แก้วเงิน,พรรคเพื่อชาติ
ศรัณย์วุฒิ ศรัณย์เกตุ,พรรคเพื่อชาติ
คฑาเทพ เตชะเดชเรืองกุล,พรรคเพื่อชาติไทย 
มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่
สุภดิช อากาศฤกษ์,พรรคเศรษฐกิจใหม่
นิยม วิวรรธนดิฐกุล,พรรคเศรษฐกิจใหม่
ภาสกร เงินเจริญกุล,พรรคเศรษฐกิจใหม่
มนูญ สิวาภิรมย์รัตน์,พรรคเศรษฐกิจใหม่
มารศรี ขจรเรืองโรจน์,พรรคเศรษฐกิจใหม่
จิราพร นาคดิลก,พรรคเศรษฐกิจใหม่
พิชัย ขจรเรืองโรจน์,พรรคเศรษฐกิจใหม่
อาทิตยา อะนะฝรั่ง,พรรคเศรษฐกิจใหม่
วัฒนา สิทธิวัง,พรรคเศรษฐกิจไทย
ณัฏฐพล จรัสรพีพงษ์,พรรคเศรษฐกิจไทย
ธนะสิทธิ์ โควสุรัตน์,พรรคเศรษฐกิจไทย
สะถิระ เผือกประพันธุ์,พรรคเศรษฐกิจไทย
ธนัสถ์ ทวีเกื้อกูลกิจ,พรรคเศรษฐกิจไทย
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,พรรคเสรีรวมไทย
วัชรา ณ วังขนาย,พรรคเสรีรวมไทย
วิรัตน์ วรศสิริน,พรรคเสรีรวมไทย
เรวัต วิศรุตเวช,พรรคเสรีรวมไทย
ประสงค์ บูรณ์พงศ์,พรรคเสรีรวมไทย
นภาพร เพ็ชร์จินดา,พรรคเสรีรวมไทย
เพชร เอกกำลังกุล,พรรคเสรีรวมไทย
ธนพร โสมทองแดง,พรรคเสรีรวมไทย
อำไพ กองมณี,พรรคเสรีรวมไทย
พลตำรวจโท วิศณุ ม่วงแพรสี,พรรคเสรีรวมไทย
ศุภชัย นาคสุวรรณ์,พรรคเสรีรวมไทย
เดชทวี ศรีวิชัย,พรรคเสรีรวมไทย
ดำรงค์ พิเดช,พรรคโอกาสไทย
ยรรยงก์ ถนอมพิชัยธำรง,พรรคโอกาสไทย
มงคลกิตติ์ สุขสินธารานนท์,พรรคไทยศรีวิไลย์
ภคอร จันทรคณา,พรรคไทยศรีวิไลย์
พลโท อัศวิน รัชฎานนท์,พรรคไทยศรีวิไลย์
วิวัฒน์ เจริญพาณิชย์ศิริ,พรรคไทยศรีวิไลย์
วรรณวรี ตะล่อมสิน,พรรคก้าวไกล
สมเกียรติ ถนอมสินธุ์,พรรคก้าวไกล
เท่าพิภพ ลิ้มจิตรกร,พรรคก้าวไกล
ทศพร ทองศิริ,พรรคก้าวไกล
ณัฐชา บุญไชยอินสวัสดิ์,พรรคก้าวไกล
จิรวัฒน์ อรัณยกานนท์,พรรคก้าวไกล
ณัฐพงษ์ เรืองปัญญาวุฒิ,พรรคก้าวไกล
สุทธวรรณ สุบรรณ ณ อยุธยา,พรรคก้าวไกล
ปดิพัทธ์ สันติภาดา,พรรคก้าวไกล
วุฒินันท์ บุญชู,พรรคก้าวไกล
ทองแดง เบ็ญจะปัก,พรรคก้าวไกล
เอกภพ เพียรพิเศษ,พรรคก้าวไกล
พีรเดช คำสมุทร,พรรคก้าวไกล
