speaker name ,party
หม่อมราชวงศ์สุขุมพันธุ์ บริพัตร,พรรคประชาธิปัตย์
ดร.เกรียงศักดิ์ เจริญวงศ์ศักดิ์,พรรคประชาธิปัตย์
นายแพทย์บุรณัชย์ สมุทรักษ์,พรรคประชาธิปัตย์
วินัย วิริยกิจจา,พรรคชาติไทย
นิกร จำนง,พรรคชาติไทย
วีระศักดิ์ โควสุรัตน์,พรรคชาติไทย
ประภัตร โพธสุธน,พรรคชาติไทย
จองชัย เที่ยงธรรม,พรรคชาติไทย
ชูวิทย์ กมลวิศิษฎ์,พรรคชาติไทย
ธรรมา ปิ่นสุกาญจนะ,พรรคชาติไทย
เกษม สรศักดิ์เกษม,พรรคชาติไทย
เจิมมาศ จึงเลิศศิริ,พรรคประชาธิปัตย์
หม่อมหลวงอภิมงคล โสณกุล,พรรคประชาธิปัตย์
กรณ์ จาติกวณิช,พรรคประชาธิปัตย์
จณิสตา ลิ่วเฉลิมวงศ์,พรรคชาติไทย
องอาจ คล้ามไพบูลย์,พรรคประชาธิปัตย์
กฤษฎา สัจจกุล,พรรคไทยรักไทย
ลลิตา ฤกษ์สำราญ,พรรคไทยรักไทย
ร้อยเอกรชฏ พิสิษฐบรรณกร,พรรคไทยรักไทย
นายแพทย์ประจวบ อึ๊งภากรณ์,พรรคไทยรักไทย
พงษ์พิสุทธิ์ จินตโสภณ,พรรคไทยรักไทย
นาวาอากาศตรีศิธา ทิวารี,พรรคไทยรักไทย
ณหทัย ทิวไผ่งาม,พรรคไทยรักไทย
ยุรนันท์ ภมรมนตรี,พรรคไทยรักไทย
เฉลิมชัย จีนะวิจารณะ,พรรคไทยรักไทย
ศุภมาส อิศรภักดี,พรรคไทยรักไทย
ปวีณา หงสกุล,พรรคไทยรักไทย
อนุสรณ์ ปั้นทอง,พรรคไทยรักไทย
ประมณฑ์ คุณะเกษม,พรรคไทยรักไทย
ภูวนิดา คุนผลิน,พรรคไทยรักไทย
พิมล ศรีวิกรม์,พรรคไทยรักไทย
พฤฒิชัย ดำรงรัตน์,พรรคไทยรักไทย
เอกพจน์ วงศ์อารยะ,พรรคไทยรักไทย
ภัทรศักดิ์ โอสถานุเคราะห์,พรรคไทยรักไทย
ศันสนีย์ นาคพงศ์,พรรคไทยรักไทย
วัฒนา เซ่งไพเราะ,พรรคไทยรักไทย
มงคล กิมสูนจันทร์,พรรคไทยรักไทย
วิชาญ มีนชัยนันท์,พรรคไทยรักไทย
เอนก หุตังคบดี,พรรคไทยรักไทย
ศิลัมพา เลิศนุวัฒน์,พรรคไทยรักไทย
ภิมุข สิมะโรจน์,พรรคไทยรักไทย
ปิติพงศ์ เต็มเจริญ,พรรคไทยรักไทย
มานะ คงวุฒิปัญญา,พรรคไทยรักไทย
สุวัฒน์ ม่วงศิริ,พรรคไทยรักไทย
สุวัฒน์ วรรณศิริกุล,พรรคไทยรักไทย
สากล ม่วงศิริ,พรรคไทยรักไทย
สุธา ชันแสง,พรรคไทยรักไทย
แสวง ฤกษ์จรัล,พรรคไทยรักไทย
เรืองวิทย์ ลิกค์,พรรคไทยรักไทย
คนึง ไทยประสิทธิ์,พรรคไทยรักไทย
พันตำรวจโทไวพจน์ อาภรณ์รัตน์,พรรคไทยรักไทย
สนั่น สบายเมือง,พรรคไทยรักไทย
ถวิล ฤกษ์หร่าย,พรรคไทยรักไทย
อนุชา นาคาศัย,พรรคไทยรักไทย
ชัยวัฒน์ ทรัพย์รวงทอง,พรรคไทยรักไทย
สิทธิชัย กิตติธเนศวร,พรรคไทยรักไทย
วุฒิชัย กิตติธเนศวร,พรรคไทยรักไทย
สมพัฒน์ แก้วพิจิตร,พรรคชาติไทย
ชาญชัย ปทุมารักษ์,พรรคไทยรักไทย
ก่อเกียรติ สิริยะเสถียร,พรรคไทยรักไทย
ไชยา สะสมทรัพย์,พรรคไทยรักไทย
เผดิมชัย สะสมทรัพย์,พรรคไทยรักไทย
สมชัย เจริญชัยฤทธิ์,พรรคไทยรักไทย
เกษม ปานอุดมลักษณ์,พรรคไทยรักไทย
วีระกร คำประกอบ,พรรคไทยรักไทย
สัญชัย วงษ์สุนทร,พรรคไทยรักไทย
เมธี ฉัตรจินดารัตน์,พรรคไทยรักไทย
พันตำรวจโทบรรยิน ตั้งภากรณ์,พรรคไทยรักไทย
นิโรธ สุนทรเลขา,พรรคไทยรักไทย
นิทัศน์ ศรีนนท์,พรรคไทยรักไทย
อุดมเดช รัตนเสถียร,พรรคไทยรักไทย
พิมพา จันทร์ประสงค์,พรรคไทยรักไทย
พันเอกอภิวันท์ วิริยะชัย,พรรคไทยรักไทย
สุชาติ บรรดาศักดิ์,พรรคไทยรักไทย
ฉลอง เรี่ยวแรง,พรรคไทยรักไทย
สุรพงษ์ อึ้งอัมพรวิไล,พรรคไทยรักไทย
เอกพจน์ ปานแย้ม,พรรคชาติไทย
วรัญญู เทพหัสดิน ณ อยุธยา,พรรคไทยรักไทย
ลิขิต หมู่ดี,พรรคไทยรักไทย
ชูชาติ หาญสวัสดิ์,พรรคไทยรักไทย
เกื้อกูล ด่านชัยวิจิตร,พรรคไทยรักไทย
พ้อง ชีวานันท์,พรรคไทยรักไทย
สุวิมล พันธ์เจริญวรกุล,พรรคไทยรักไทย
วิทยา บุรณศิริ,พรรคไทยรักไทย
บุญพันธ์ แขวัฒนะ,พรรคไทยรักไทย
ประดิษฐ์ ภัทรประสิทธิ์,พรรคประชาธิปัตย์
สุณีย์ เหลืองวิจิตร,พรรคไทยรักไทย
นาวิน บุญเสรฐ,พรรคไทยรักไทย
ศิริวัฒน์ ขจรประศาสน์,พรรคมหาชน
