"names","parties"
"นายษฐา  ขาวขำ","พรรคภูมิใจไทย"
"นายสกล  สุนทรวาณิชย์กิจ","พรรคก้าวไกล"
"นางสาวสกุณา  สาระนันท์","พรรคเพื่อไทย"
"นางสาวเพ็ญชิสา  หงษ์อุปถัมภ์ชัย","พรรคเพื่อไทย"
"นายสนอง  เทพอักษรณรงค์","พรรคภูมิใจไทย"
"นายสมเกียรติ  ตันดิลกตระกูล","พรรคเพื่อไทย"
"นายสมเจตน์  แสงเจริญรัตน์","พรรคเพื่อไทย"
"ว่าที่ร้อยตรี สมชาติ  เตชถาวรเจริญ","พรรคก้าวไกล"
"นายสมดุลย์  อุตเจริญ","พรรคก้าวไกล"
"นายสมบัติ  ยะสินธุ์","พรรคประชาธิปัตย์"
"นายสมพงษ์  อมรวิวัฒน์","พรรคเพื่อไทย"
"นายสมมุติ  เบ็ญจลักษณ์","พรรคประชาชาติ"
"นายสมยศ  พลายด้วง","พรรคประชาธิปัตย์"
"นายณณัฏฐ์  หงษ์ชูเวช","พรรคเพื่อไทย"
"นายสมศักดิ์  บุญประชม","พรรคเพื่อไทรวมพลัง"
"นายสยาม  เพ็งทอง","พรรคภูมิใจไทย"
"นายสยาม  หัตถสงเคราะห์","พรรคเพื่อไทย"
"นายสรชัด  สุจิตต์","พรรคชาติไทยพัฒนา"
"นายสรพัช  ศรีปราชญ์","พรรคก้าวไกล"
"นายสรรพภัญญู  ศิริไปล์","พรรคเพื่อไทย"
"นายสรรเพชญ  บุญญามณี","พรรคประชาธิปัตย์"
"นายสรวงศ์  เทียนทอง","พรรคเพื่อไทย"
"นายสรวีย์  ศุภปณิตา","พรรคก้าวไกล"
"นางสาวสรัสนันท์  อรรณนพพร","พรรคเพื่อไทย"
"นายสฤษฏ์พงษ์  เกี่ยวข้อง","พรรคภูมิใจไทย"
"นายสฤษดิ์  บุตรเนียร","พรรคภูมิใจไทย"
"นางสว่างจิตต์  เลาหะโรจนพันธ์","พรรคก้าวไกล"
"นายสหัสวัต  คุ้มคง","พรรคก้าวไกล"
"นายสะถิระ  เผือกประพันธุ์","พรรคพลังประชารัฐ"
"นายสังคม  แดงโชติ","พรรคภูมิใจไทย"
"นายสัญญา  นิลสุพรรณ","พรรครวมไทยสร้างชาติ"
"นายสันต์  แซ่ตั้ง","พรรครวมไทยสร้างชาติ"
"นายสัมพันธ์  มะยูโซ๊ะ","พรรคพลังประชารัฐ"
"นายสัมฤทธิ์  แทนทรัพย์","พรรคภูมิใจไทย"
"นายสาธิต  ทวีผล","พรรคก้าวไกล"
"นายสาเหะมูหามัด  อัลอิดรุส","พรรคประชาชาติ"
"นายสิงหภณ  ดีนาง","พรรคเพื่อไทย"
"นายสิทธิชัย  หล่อประสงค์สุข","พรรคเพื่อไทย"
"นายสิทธิพล  วิบูลย์ธนากุล","พรรคก้าวไกล"
"พันโท สินธพ  แก้วพิจิตร","พรรครวมไทยสร้างชาติ"
"นายสิริน  สงวนสิน","พรรคก้าวไกล"
"นางสาวสิริลภัส  กองตระการ","พรรคก้าวไกล"
"นางสุขสมรวย  วันทนียกุล","พรรคภูมิใจไทย"
"นายสุชาติ  ชมกลิ่น","พรรครวมไทยสร้างชาติ"
"นายสุชาติ  ตันเจริญ","พรรคเพื่อไทย"
"นางสาวสุณัฐชา  โล่สถาพรพิพิธ","พรรคประชาธิปัตย์"
"นายฐากร  ตัณฑสิทธิ์","พรรคไทยสร้างไทย"
"นางสาวสุดารัตน์  พิทักษ์พรพัลลภ","พรรคเพื่อไทย"
"นางสาวสุดาวรรณ  หวังศุภกิจโกศล","พรรคเพื่อไทย"
"นายสุทธิชัย  จรูญเนตร","พรรคภูมิใจไทย"
"นายสุทิน  คลังแสง","พรรคเพื่อไทย"
"นายสุธรรม  จริตงาม","พรรคพลังประชารัฐ"
"นายสุธรรม  แสงประทุม","พรรคเพื่อไทย"
"นายสุพล  จุลใส","พรรครวมไทยสร้างชาติ"
"นางสุพัชรี  ธรรมเพชร","พรรคประชาธิปัตย์"
"นางศิริวรรณ  ปราศจากศัตรู","พรรครวมไทยสร้างชาติ"
"นายสุภกร  ตันติไพบูลย์ธนะ","พรรคก้าวไกล"
"นางสาวสุภาพร  กำเนิดผล","พรรคประชาธิปัตย์"
"นางสุภาพร  สลับศรี","พรรคไทยสร้างไทย"
"นายสุรเกียรติ  เทียนทอง","พรรคเพื่อไทย"
"นายสุรชาติ  ชาญประดิษฐ์","พรรคเพื่อไทย"
"นายสุรเชษฐ์  ประวีณวงศ์วุฒิ","พรรคก้าวไกล"
"นายสุรทิน  พิจารณ์","พรรคประชาธิปไตยใหม่"
"นายสุรพจน์  เตาะเจริญสุข","พรรคเพื่อไทย"
"พลตำรวจตรี สุรพล  บุญมา","พรรคเพื่อไทย"
"นายสุรพันธ์  ไวยากรณ์","พรรคก้าวไกล"
"รองศาสตราจารย์สุรวาท  ทองบุ","พรรคก้าวไกล"
"นายสุรศักดิ์  พันธ์เจริญวรกุล","พรรคภูมิใจไทย"
"พลตำรวจตรี สุรินทร์  ปาลาเร่","พรรคประชาธิปัตย์"
"นายชนินทร์  รุ่งธนเกียรติ","พรรคเพื่อไทย"
"นายสุไลมาน  บือแนปีแน","พรรคประชาชาติ"
"นายสุวรรณา  กุมภิโร","พรรคภูมิใจไทย"
"นายเสมอกัน  เที่ยงธรรม","พรรคชาติไทยพัฒนา"
"นายมังกร  ยนต์ตระกูล","พรรคเสรีรวมไทย"
"นายโสภณ  ซารัมย์","พรรคภูมิใจไทย"
"นางหทัยรัตน์  เพชรพนมพร","พรรคเพื่อไทย"
"นายหรั่ง  ธุระพล","พรรคไทยสร้างไทย"
"นายองค์การ  ชัยบุตร","พรรคก้าวไกล"
"นายองอาจ  ฉัตรชัยพลรัตน์","พรรคภูมิใจไทย"
"นายองอาจ  วงษ์ประยูร","พรรคพลังประชารัฐ"
"นายอดิพงษ์  ฐิติพิทยา","พรรคภูมิใจไทย"
"นายอดิศร  เพียงเกษ","พรรคเพื่อไทย"
"นายอดิศักดิ์  แก้วมุงคุณทรัพย์","พรรคไทยสร้างไทย"
"นายอนันต์  ปรีดาสุทธิจิตต์","พรรคเพื่อไทย"
"นายอนันต์  ผลอำนวย","พรรคพลังประชารัฐ"
"นายอนุชา  นาคาศัย","พรรครวมไทยสร้างชาติ"
"นายอนุชา  สะสมทรัพย์","พรรคชาติไทยพัฒนา"
"นายอนุทิน  ชาญวีรกูล","พรรคภูมิใจไทย"
"นายอนุรักษ์  จุรีมาศ","พรรคชาติไทยพัฒนา"
"นายอนุรัตน์  ตันบรรจง","พรรคพลังประชารัฐ"
"นายอนุสรณ์  แก้ววิเชียร","พรรคก้าวไกล"
"นายอนุสรณ์  เอี่ยมสะอาด","พรรคเพื่อไทย"
"นายอภิชา  เลิศพชรกมล","พรรคเพื่อไทย"
"จ่าอากาศเอก อภิชาติ  แก้วโกศล","พรรครวมไทยสร้างชาติ"
"นายอภิชาติ  ตีรสวัสดิชัย","พรรคเพื่อไทย"
"นายอภิชาติ  ศิริสุนทร","พรรคก้าวไกล"
"นายอภิสิทธิ์  ไล่สัตรูไกล","พรรคก้าวไกล"
"นายอมรเทพ  สมหมาย","พรรคเพื่อไทย"
"ว่าที่ร้อยตรีหญิง อรพรรณ  จันตาเรือง","พรรคก้าวไกล"
"นายอรรถกร  ศิริลัทธยากร","พรรคพลังประชารัฐ"
"นายอรรถพล  ไตรศรี","พรรคภูมิใจไทย"
"นายอรรถพล  วงษ์ประยูร","พรรคเพื่อไทย"
"นายอลงกต  มณีกาศ","พรรคภูมิใจไทย"
"นางอวยพรศรี  เชาวลิต","พรรคประชาธิปัตย์"
"นายอัคร  ทองใจสด","พรรคพลังประชารัฐ"
"นายอัครเดช  วงษ์พิทักษ์โรจน์","พรรครวมไทยสร้างชาติ"
"นายอัครนันท์  กัณณ์กิตตินันท์","พรรคเพื่อไทย"
"นายอัครแสนคีรี  โล่ห์วีระ","พรรคพลังประชารัฐ"
"นายอับดุลอายี  สาแม็ง","พรรคประชาชาติ"
"นายอาทิตย์  หวังศุภกิจโกศล","พรรคเพื่อไทย"
"นายอานุภาพ  ลิขิตอำนวยชัย","พรรคก้าวไกล"
"นายอามินทร์  มะยูโซ๊ะ","พรรคพลังประชารัฐ"
"นายอาสพลธ์  สรรณ์ไตรภพ","พรรคภูมิใจไทย"
"นายอำนาจ  วิลาวัลย์","พรรคภูมิใจไทย"
"นายอิทธิพล  ชลธราศิริ","พรรคก้าวไกล"
"นายเอกธนัช  อินทร์รอด","พรรคเพื่อไทย"
"นายเอกนัฏ  พร้อมพันธุ์","พรรครวมไทยสร้างชาติ"
"นายเอกราช  ช่างเหลา","พรรคภูมิใจไทย"
"นายเอกราช  อุดมอำนวย","พรรคก้าวไกล"
"นางสาวแอนศิริ  วลัยกนก","พรรคก้าวไกล"
"นายโอชิษฐ์  เกียรติก้องชูชัย","พรรคเพื่อไทย"
